Start Date,End Date,Portfolio name,Currency,Campaign Name,Ad Group Name,Targeting,Match Type,Customer Search Term,Impressions,Clicks,Click-Thru Rate (CTR),Cost Per Click (CPC),Spend,7 Day Total Sales ,Total Advertising Cost of Sales (ACOS) ,Total Return on Advertising Spend (ROAS),7 Day Total Orders (#),7 Day Total Units (#),7 Day Conversion Rate,7 Day Advertised SKU Units (#),7 Day Other SKU Units (#),7 Day Advertised SKU Sales ,7 Day Other SKU Sales 
"Dec 15, 2022","Dec 19, 2022",Boomstick Trio,USD,All Products_dis_nb_sb_kw_b_storefront spotlight_omg,AMS_Ads_All Products_dis_nb_sb_kw_b_storefront spotlight_omg,bloom cosmetics,BROAD,mary kay cosmetics,403,5,1.2407%,$0.79,3.95,0.00,,0.00,0,0,0.0000%,,,,
"Dec 18, 2022","Dec 20, 2022",Boomstick Trio,USD,All Products_dis_nb_sb_kw_b_storefront spotlight_omg,AMS_Ads_All Products_dis_nb_sb_kw_b_storefront spotlight_omg,bloom cosmetics,BROAD,merle norman cosmetics,165,5,3.0303%,$0.92,4.62,0.00,,0.00,0,0,0.0000%,,,,
"Dec 20, 2022","Dec 20, 2022",Boomstick Trio,USD,All Products_dis_nb_sb_kw_p_storefront spotlight_omg,AMS_Ads_All Products_dis_nb_sb_kw_p_storefront spotlight_omg,boo stick,PHRASE,boo stick rose,1,1,100.0000%,$1.15,1.15,0.00,,0.00,0,0,0.0000%,,,,
"Dec 19, 2022","Dec 19, 2022",Boomstick Trio,USD,All Products_dis_br_sb_kw_b_storefront spotlight_omg,AMS_Ads_All Products_dis_br_sb_kw_b_storefront spotlight_omg,boom makeup glow stick,BROAD,charlotte tilbury glowgasm beauty light wand highlighter,2,2,100.0000%,$0.76,1.52,0.00,,0.00,0,0,0.0000%,,,,
"Dec 15, 2022","Dec 15, 2022",Boomstick Trio,USD,All Products_dis_br_sb_kw_b_storefront spotlight_omg,AMS_Ads_All Products_dis_br_sb_kw_b_storefront spotlight_omg,boom makeup glow stick,BROAD,elf luminous putty blush bermuda,1,1,100.0000%,$1.07,1.07,0.00,,0.00,0,0,0.0000%,,,,
"Dec 15, 2022","Dec 15, 2022",Boomstick Trio,USD,All Products_dis_br_sb_kw_b_storefront spotlight_omg,AMS_Ads_All Products_dis_br_sb_kw_b_storefront spotlight_omg,boom makeup glow stick,BROAD,glow illuminator makeup face,1,1,100.0000%,$1.07,1.07,0.00,,0.00,0,0,0.0000%,,,,
"Dec 17, 2022","Dec 19, 2022",Boomstick Trio,USD,All Products_dis_br_sb_kw_b_storefront spotlight_omg,AMS_Ads_All Products_dis_br_sb_kw_b_storefront spotlight_omg,boom makeup glow stick,BROAD,highlighter wand,35,3,8.5714%,$0.82,2.45,0.00,,0.00,0,0,0.0000%,,,,
"Dec 17, 2022","Dec 17, 2022",Boomstick Trio,USD,All Products_dis_br_sb_kw_b_storefront spotlight_omg,AMS_Ads_All Products_dis_br_sb_kw_b_storefront spotlight_omg,boomstick by cindy joseph,BROAD,kimuse,1,1,100.0000%,$0.56,0.56,0.00,,0.00,0,0,0.0000%,,,,
"Dec 15, 2022","Dec 16, 2022",Boomstick Trio,USD,All Products_sca_br_sb_kw_e_storefront spotlight_omg,AMS_Ads_All Products_sca_br_sb_kw_e_storefront spotlight_omg,cindy joseph boom sticks,EXACT,cindy joseph boom sticks,11,3,27.2727%,$1.00,3.01,0.00,,0.00,0,0,0.0000%,,,,
"Dec 15, 2022","Dec 20, 2022",Boomstick Trio,USD,All Products_sca_br_sb_kw_e_storefront spotlight_omg,AMS_Ads_All Products_sca_br_sb_kw_e_storefront spotlight_omg,boom by cindy joseph cosmetic,EXACT,boom by cindy joseph cosmetics,3,2,66.6667%,$0.53,1.06,0.00,,0.00,0,0,0.0000%,,,,
"Dec 20, 2022","Dec 20, 2022",Boomstick Trio,USD,All Products_dis_nb_sb_kw_b_storefront spotlight_omg,AMS_Ads_All Products_dis_nb_sb_kw_b_storefront spotlight_omg,thrive cosmetics muna smokey eye stick,BROAD,mally cosmetics,35,2,5.7143%,$1.36,2.72,0.00,,0.00,0,0,0.0000%,,,,
"Dec 18, 2022","Dec 18, 2022",Boomstick Trio,USD,All Products_dis_nb_sb_kw_b_storefront spotlight_omg,AMS_Ads_All Products_dis_nb_sb_kw_b_storefront spotlight_omg,thrive cosmetics muna smokey eye stick,BROAD,oggee cosmetics,12,1,8.3333%,$1.11,1.11,0.00,,0.00,0,0,0.0000%,,,,
"Dec 18, 2022","Dec 20, 2022",Boomstick Trio,USD,All Products_dis_nb_sb_kw_b_storefront spotlight_omg,AMS_Ads_All Products_dis_nb_sb_kw_b_storefront spotlight_omg,thrive cosmetics muna smokey eye stick,BROAD,thrive causemetics,2469,5,0.2025%,$1.01,5.06,107.00,4.7290%,21.15,2,2,40.0000%,,,,
"Dec 20, 2022","Dec 20, 2022",Boomstick Trio,USD,All Products_dis_nb_sb_kw_b_storefront spotlight_omg,AMS_Ads_All Products_dis_nb_sb_kw_b_storefront spotlight_omg,thrive cosmetics muna smokey eye stick,BROAD,thrive cosmetic,1,1,100.0000%,$2.07,2.07,0.00,,0.00,0,0,0.0000%,,,,
"Dec 16, 2022","Dec 16, 2022",Boomstick Trio,USD,All Products_dis_nb_sb_kw_b_storefront spotlight_omg,AMS_Ads_All Products_dis_nb_sb_kw_b_storefront spotlight_omg,thrive cosmetics muna smokey eye stick,BROAD,thrive eye brightener stick,135,1,0.7407%,$1.13,1.13,0.00,,0.00,0,0,0.0000%,,,,
"Dec 17, 2022","Dec 18, 2022",Boomstick Trio,USD,All Products_dis_nb_sb_kw_b_storefront spotlight_omg,AMS_Ads_All Products_dis_nb_sb_kw_b_storefront spotlight_omg,thrive cosmetics muna smokey eye stick,BROAD,thrive eyeshadow stick,119,2,1.6807%,$1.77,3.54,0.00,,0.00,0,0,0.0000%,,,,
